h 	 hh 	 p 	 snp 	 ar 	 war 	 sigma 	 bf 	 like 	 
0.008	0.000	-0.625	2	0.479	0.305	0.158	-2.292	-2.522	
0.021	0.000	-0.763	1	0.480	0.305	0.362	-2.784	-0.947	
0.057	0.000	-0.533	4	0.480	0.305	0.307	-3.032	-4.377	
0.004	0.000	-0.533	1	0.480	0.305	0.152	-1.923	-1.734	
0.004	0.000	-0.383	2	0.479	0.304	0.083	-2.438	-3.021	
0.055	0.000	-0.482	4	0.479	0.305	0.303	-1.432	-4.131	
0.129	0.000	-0.450	2	0.479	0.305	0.680	-1.026	-2.790	
0.020	0.000	-0.520	3	0.479	0.307	0.208	-0.777	-3.473	
0.379	0.001	-0.365	3	0.478	0.305	1.128	-4.287	-3.375	
0.322	0.001	-0.589	3	0.477	0.305	0.995	-2.969	-3.606	
0.400	0.000	-0.551	1	0.477	0.305	2.045	-4.101	-1.651	
0.063	0.001	-0.527	3	0.477	0.305	0.374	-1.211	-3.485	
0.048	0.001	-0.574	2	0.477	0.305	0.398	-2.493	-2.562	
0.035	0.000	-0.406	3	0.477	0.305	0.275	-0.781	-3.366	
0.173	0.000	-0.344	2	0.477	0.305	0.806	-0.526	-3.204	
0.048	0.000	-0.390	2	0.475	0.305	0.397	-0.257	-2.991	
0.082	0.001	-0.272	3	0.475	0.304	0.431	0.287	-3.547	
0.021	0.000	-0.299	3	0.476	0.304	0.211	-0.307	-3.472	
0.079	0.001	-0.488	2	0.474	0.303	0.516	0.164	-2.695	
0.200	0.001	-0.395	2	0.472	0.301	0.885	-0.961	-2.972	
0.087	0.001	-0.663	2	0.470	0.300	0.545	0.168	-2.507	
0.304	0.000	-0.607	1	0.469	0.299	1.666	-3.893	-1.420	
0.029	0.000	-0.509	2	0.466	0.298	0.303	-0.655	-2.655	
0.313	0.001	-0.347	2	0.464	0.297	1.197	-5.467	-3.188	
0.525	0.000	-0.443	1	0.462	0.296	2.652	-4.225	-2.237	
0.262	0.000	-0.678	1	0.462	0.296	1.479	-3.928	-1.179	
0.024	0.000	-0.516	3	0.462	0.296	0.226	-1.108	-3.467	
0.419	0.000	-0.662	1	0.462	0.296	2.139	-3.866	-1.229	
0.767	0.000	-0.694	1	0.463	0.295	4.547	-4.671	-1.129	
0.603	0.000	-0.710	1	0.462	0.294	3.092	-4.134	-1.083	
0.170	0.000	-0.340	4	0.462	0.295	0.567	-2.300	-3.571	
0.080	0.000	-0.281	2	0.462	0.295	0.522	-0.860	-3.612	
0.081	0.000	-0.554	1	0.462	0.295	0.746	-2.646	-1.637	
0.155	0.001	-0.564	2	0.462	0.294	0.756	-1.064	-2.574	
0.052	0.000	-0.496	3	0.462	0.294	0.339	-1.650	-3.438	
0.007	0.000	-0.374	2	0.462	0.294	0.147	-1.360	-3.058	
0.051	0.001	-0.456	3	0.461	0.293	0.336	-1.040	-3.392	
0.059	0.000	-0.710	3	0.460	0.293	0.363	-1.470	-3.922	
0.001	0.000	-0.559	3	0.459	0.293	0.044	-1.821	-3.543	
0.057	0.000	-0.730	1	0.460	0.293	0.616	-2.883	-1.029	
0.024	0.000	-0.716	2	0.459	0.293	0.279	-0.794	-2.503	
0.145	0.001	-0.744	2	0.458	0.292	0.726	-0.569	-2.508	
0.043	0.000	-0.626	2	0.457	0.291	0.376	-0.689	-2.521	
0.073	0.000	-0.587	2	0.455	0.290	0.495	-2.217	-2.550	
0.144	0.000	-0.596	1	0.455	0.290	1.035	-3.554	-1.463	
0.101	0.000	-0.375	1	0.455	0.291	0.841	-3.442	-2.739	
0.321	0.002	-0.315	2	0.454	0.290	1.213	-1.675	-3.376	
0.366	0.001	-0.332	2	0.452	0.288	1.340	-1.641	-3.269	
0.650	0.000	-0.544	1	0.451	0.288	3.415	-4.658	-1.682	
0.423	0.000	-0.593	1	0.451	0.288	2.148	-4.224	-1.474	
0.614	0.001	-0.443	3	0.449	0.287	1.822	-5.337	-3.381	
0.643	0.002	-0.440	2	0.449	0.287	2.370	-2.132	-2.818	
0.734	0.000	-0.241	2	0.448	0.286	2.935	-4.843	-3.967	
0.713	0.000	-0.164	2	0.446	0.285	2.789	-4.998	-5.007	
0.863	0.000	-0.402	2	0.446	0.285	4.422	-3.676	-2.946	
0.939	0.000	-0.300	1	0.445	0.284	9.850	-5.723	-3.483	
0.918	0.001	-0.212	2	0.444	0.284	5.917	-3.125	-4.295	
0.798	0.000	-0.291	2	0.442	0.284	3.503	-2.094	-3.536	
0.147	0.000	-0.157	3	0.442	0.283	0.600	-1.491	-4.301	
0.005	0.000	-0.218	2	0.441	0.283	0.131	-1.250	-4.226	
0.082	0.001	-0.479	3	0.441	0.283	0.431	-1.980	-3.416	
0.024	0.000	-0.560	2	0.442	0.283	0.277	-3.179	-2.579	
0.029	0.000	-0.612	2	0.442	0.283	0.306	-1.323	-2.530	
0.062	0.000	-0.621	3	0.442	0.283	0.373	-4.090	-3.680	
0.053	0.000	-0.759	1	0.442	0.283	0.596	-3.204	-0.956	
0.151	0.001	-0.543	2	0.442	0.283	0.745	-2.308	-2.600	
0.551	0.000	-0.615	2	0.443	0.283	1.954	-4.091	-2.528	
0.597	0.002	-0.598	2	0.442	0.282	2.146	-3.406	-2.540	
0.428	0.000	-0.644	1	0.441	0.282	2.146	-4.566	-1.288	
0.461	0.000	-0.549	2	0.442	0.281	1.635	-4.281	-2.591	
0.734	0.000	-0.700	1	0.442	0.281	4.187	-5.013	-1.111	
0.175	0.001	-0.536	2	0.442	0.281	0.813	-2.533	-2.609	
0.119	0.001	-0.476	4	0.443	0.283	0.461	-2.244	-4.102	
0.191	0.001	-0.463	3	0.442	0.282	0.702	-2.297	-3.399	
0.144	0.000	-0.710	1	0.442	0.283	1.030	-3.478	-1.083	
0.020	0.000	-0.778	1	0.443	0.283	0.361	-2.460	-0.912	
0.363	0.000	-0.673	1	0.443	0.283	1.172	-4.239	-1.193	
0.433	0.000	-0.651	1	0.443	0.283	2.188	-4.216	-1.264	
0.361	0.001	-0.468	3	0.443	0.283	1.086	-2.396	-3.404	
0.104	0.001	-0.451	3	0.442	0.282	0.493	-0.619	-3.388	
0.129	0.000	-0.724	1	0.442	0.282	0.970	-3.232	-1.046	
0.267	0.000	-0.760	2	0.442	0.282	1.066	-1.378	-2.514	
0.105	0.001	-0.674	4	0.441	0.282	0.428	-1.167	-5.132	
0.278	0.000	-0.599	1	0.442	0.283	1.557	-3.836	-1.449	
0.361	0.000	-0.539	1	0.441	0.282	1.168	-4.139	-1.706	
0.025	0.000	-0.429	1	0.440	0.282	0.404	-2.360	-2.330	
0.071	0.000	-0.460	2	0.440	0.281	0.488	-0.979	-2.763	
0.021	0.000	-0.512	2	0.440	0.281	0.257	-1.590	-2.650	
0.032	0.000	-0.509	2	0.439	0.281	0.322	-2.242	-2.655	
0.006	0.000	-0.642	1	0.439	0.282	0.124	-1.872	-1.295	
0.039	0.000	-0.579	1	0.439	0.282	0.498	-3.109	-1.531	
0.040	0.000	-0.530	2	0.439	0.281	0.363	-0.171	-2.620	
0.133	0.001	-0.293	3	0.438	0.281	0.566	-0.491	-3.484	
0.025	0.000	-0.139	4	0.438	0.281	0.202	-1.910	-3.551	
0.189	0.001	-0.105	3	0.438	0.280	0.697	-3.147	-5.099	
0.079	0.001	-0.127	3	0.438	0.280	0.423	-1.506	-4.696	
0.177	0.002	-0.204	3	0.438	0.280	0.671	-1.311	-3.886	
0.080	0.001	-0.279	2	0.438	0.280	0.521	-2.494	-3.629	
0.145	0.001	-0.176	4	0.438	0.280	0.516	-1.676	-3.415	
0.054	0.000	-0.274	4	0.438	0.279	0.300	-1.428	-3.411	
0.027	0.000	-0.165	4	0.438	0.279	0.177	-3.194	-3.444	
0.002	0.000	-0.155	3	0.438	0.278	0.055	-1.943	-4.327	
0.004	0.000	-0.045	3	0.438	0.278	0.072	-2.865	-7.153	
0.198	0.000	-0.062	4	0.438	0.277	0.623	-1.742	-4.474	
0.132	0.001	-0.156	3	0.437	0.277	0.563	-0.322	-4.316	
0.156	0.001	-0.130	3	0.437	0.276	0.622	-1.171	-4.652	
0.201	0.000	-0.120	3	0.436	0.276	0.724	-1.415	-4.815	
0.009	0.001	-0.250	3	0.436	0.276	0.136	-0.855	-3.631	
0.001	0.000	-0.409	4	0.436	0.275	0.041	-0.926	-3.815	
0.246	0.000	-0.302	3	0.436	0.275	0.826	-3.217	-3.463	
0.245	0.001	-0.298	4	0.436	0.275	0.603	-6.532	-3.459	
0.680	0.001	-0.116	3	0.436	0.276	2.107	-5.758	-4.888	
0.466	0.001	-0.159	2	0.436	0.275	1.652	-3.381	-5.092	
0.439	0.001	-0.287	2	0.435	0.274	1.562	-0.673	-3.565	
0.604	0.001	-0.221	2	0.435	0.274	2.181	-1.197	-4.190	
0.711	0.000	-0.202	2	0.434	0.273	2.771	-1.637	-4.424	
0.343	0.001	-0.153	4	0.434	0.274	0.903	-2.727	-3.484	
0.327	0.001	-0.209	3	0.433	0.273	1.007	-1.489	-3.847	
0.150	0.001	-0.283	2	0.433	0.272	0.741	-1.706	-3.596	
0.017	0.000	-0.264	3	0.432	0.272	0.189	-0.691	-3.576	
0.187	0.001	-0.311	2	0.432	0.271	0.845	-0.153	-3.399	
0.261	0.001	-0.277	2	0.432	0.270	1.049	-0.441	-3.649	
0.198	0.000	-0.377	1	0.431	0.270	0.771	-3.979	-2.725	
0.005	0.000	-0.250	1	0.431	0.270	0.176	-1.615	-4.136	
0.038	0.001	-0.074	3	0.430	0.269	0.288	-1.723	-5.889	
0.463	0.000	-0.535	1	0.430	0.269	2.324	-4.438	-1.726	
0.406	0.000	-0.338	1	0.430	0.270	2.073	-4.331	-3.077	
0.114	0.000	-0.248	2	0.431	0.270	0.633	-2.339	-3.900	
0.009	0.000	-0.287	3	0.431	0.270	0.136	-1.826	-3.501	
0.140	0.000	-0.354	3	0.431	0.270	0.583	-2.637	-3.384	
0.146	0.000	-0.527	2	0.431	0.270	0.733	-2.159	-2.624	
0.316	0.000	-0.591	1	0.431	0.270	1.712	-4.344	-1.481	
0.022	0.000	-0.723	1	0.431	0.270	0.377	-2.799	-1.048	
0.058	0.000	-0.658	2	0.431	0.271	0.439	-3.619	-2.508	
0.187	0.000	-0.734	3	0.430	0.270	0.692	-2.529	-3.991	
0.044	0.000	-0.657	3	0.430	0.270	0.309	-1.947	-3.772	
0.030	0.000	-0.654	3	0.431	0.271	0.252	-1.193	-3.765	
0.207	0.000	-0.444	2	0.431	0.272	0.909	-3.511	-2.805	
0.063	0.000	-0.592	2	0.431	0.271	0.459	-0.924	-2.545	
0.021	0.000	-0.693	1	0.431	0.271	0.365	-2.793	-1.134	
0.252	0.000	-0.745	2	0.430	0.271	1.027	-2.288	-2.509	
0.126	0.000	-0.564	1	0.431	0.272	0.950	-3.745	-1.596	
0.437	0.000	-0.361	2	0.431	0.272	1.554	-3.707	-3.121	
