snp	 s0	s1	s2	s3	
4	37	65	73	126	
4	43	64	73	126	
3	48	73	126	NA 
4	50	61	73	126	
4	48	61	73	126	
4	53	61	73	126	
4	53	60	73	126	
4	53	54	73	126	
4	53	63	73	126	
4	48	60	73	126	
4	52	62	73	126	
4	49	59	73	126	
4	34	61	73	126	
4	38	64	73	126	
4	40	65	73	126	
4	52	59	73	126	
4	53	59	73	126	
4	53	59	73	126	
4	49	59	73	126	
4	49	59	73	126	
4	46	73	126	142	
3	35	73	126	NA 
4	35	62	73	126	
4	33	62	73	126	
4	33	61	73	126	
4	33	61	73	126	
4	46	61	73	126	
4	37	60	73	126	
4	26	60	73	126	
4	33	60	73	126	
4	26	60	73	126	
4	33	60	73	126	
4	25	61	73	126	
4	24	56	73	126	
4	25	61	73	126	
4	23	63	73	126	
4	25	63	73	126	
4	52	59	73	126	
4	48	65	73	126	
4	40	61	73	126	
4	34	61	73	126	
4	35	61	73	126	
4	50	59	73	126	
4	46	55	73	126	
4	53	60	73	126	
4	50	60	73	126	
4	50	60	73	126	
4	50	64	73	126	
4	49	60	73	126	
4	46	62	73	126	
4	48	60	73	126	
4	38	60	73	126	
4	46	60	73	126	
4	46	60	73	126	
4	48	60	73	126	
4	48	64	73	126	
4	49	63	73	126	
4	49	63	73	126	
4	48	59	73	126	
4	48	59	73	126	
4	48	59	73	126	
4	48	59	73	126	
4	49	59	73	126	
4	49	65	73	126	
4	53	63	73	126	
3	46	73	126	NA 
4	46	60	73	126	
4	52	64	73	126	
4	41	59	73	126	
4	38	60	73	126	
4	38	60	73	126	
4	41	65	73	126	
4	50	64	73	126	
4	46	64	73	126	
4	48	60	73	126	
4	43	60	73	126	
4	38	59	73	126	
4	33	59	73	126	
4	23	59	73	126	
4	29	61	73	126	
4	36	61	73	126	
4	26	61	73	126	
4	26	64	73	126	
4	26	63	73	126	
4	29	63	73	126	
4	32	62	73	126	
4	34	63	73	126	
4	50	63	73	126	
4	53	63	73	126	
4	37	60	73	126	
4	46	64	73	126	
4	46	59	73	126	
4	50	59	73	126	
4	46	59	73	126	
4	50	59	73	126	
4	33	61	73	126	
4	52	61	73	126	
4	52	61	73	126	
4	52	55	73	126	
4	52	61	73	126	
4	52	61	73	126	
4	52	61	73	126	
4	52	63	73	126	
4	52	63	73	126	
