h 	 hh 	 p 	 snp 	 ar 	 war 	 sigma 	 bf 	 like 	 
0.057	0.004	-1.897	1	0.247	0.139	0.356	13.131	-1.607	
0.059	0.002	-1.993	1	0.247	0.139	0.362	13.492	-1.286	
0.031	0.004	-2.074	1	0.247	0.139	0.260	13.886	-1.068	
0.195	0.005	-1.849	2	0.247	0.139	0.520	9.790	-6.040	
0.074	0.002	-1.719	1	0.247	0.140	0.409	14.750	-2.432	
0.005	0.005	-1.846	4	0.247	0.140	0.061	14.048	-14.519	
0.037	0.002	-1.789	3	0.247	0.140	0.213	10.860	-10.271	
0.110	0.003	-1.973	1	0.248	0.140	0.509	14.538	-1.349	
0.117	0.002	-1.984	1	0.248	0.140	0.524	12.614	-1.313	
0.015	0.005	-1.997	2	0.248	0.140	0.150	12.371	-5.863	
0.081	0.002	-1.848	2	0.248	0.140	0.302	12.864	-6.041	
0.114	0.005	-1.889	1	0.248	0.140	0.519	12.887	-1.638	
0.284	0.002	-1.930	1	0.248	0.139	0.909	13.012	-1.490	
0.397	0.004	-2.072	1	0.247	0.139	1.172	12.335	-1.071	
0.382	0.003	-2.044	1	0.247	0.139	1.134	12.007	-1.143	
0.372	0.002	-1.942	1	0.247	0.139	1.112	12.387	-1.450	
0.413	0.002	-1.977	1	0.247	0.139	1.212	12.025	-1.335	
0.421	0.001	-1.903	2	0.247	0.139	0.871	11.412	-5.955	
0.440	0.002	-1.794	1	0.248	0.140	1.280	11.959	-2.039	
0.522	0.002	-1.633	2	0.248	0.140	1.066	11.445	-6.703	
0.146	0.004	-1.585	1	0.248	0.140	0.597	12.739	-3.322	
0.195	0.002	-1.591	2	0.248	0.140	0.601	9.894	-6.909	
0.011	0.002	-1.593	1	0.248	0.140	0.153	14.338	-3.254	
0.019	0.004	-1.486	1	0.248	0.140	0.203	15.493	-4.180	
0.079	0.002	-1.646	2	0.249	0.140	0.355	10.552	-6.645	
0.316	0.003	-1.639	2	0.249	0.140	0.694	11.204	-6.677	
0.449	0.004	-1.764	1	0.249	0.140	1.302	12.078	-2.189	
0.564	0.003	-1.823	1	0.249	0.140	1.642	11.846	-1.909	
0.417	0.004	-1.951	1	0.249	0.140	1.222	11.933	-1.419	
0.179	0.001	-1.789	2	0.249	0.140	0.583	9.666	-6.168	
0.055	0.003	-2.044	2	0.249	0.140	0.282	13.342	-5.841	
0.012	0.004	-2.077	1	0.249	0.140	0.157	13.762	-1.059	
0.283	0.004	-2.099	1	0.249	0.140	0.909	13.967	-1.007	
0.119	0.002	-1.997	2	0.249	0.140	0.375	13.859	-5.863	
0.099	0.003	-2.053	1	0.248	0.139	0.478	14.695	-1.120	
0.187	0.003	-2.067	1	0.248	0.139	0.694	12.936	-1.085	
0.342	0.001	-2.053	1	0.248	0.139	1.041	12.092	-1.119	
0.298	0.005	-1.825	4	0.248	0.139	0.517	9.648	-14.460	
0.596	0.003	-1.719	1	0.248	0.140	1.755	13.408	-2.432	
0.260	0.003	-1.701	3	0.248	0.140	0.574	9.658	-10.327	
0.032	0.002	-1.781	1	0.248	0.140	0.261	13.605	-2.102	
0.028	0.001	-1.928	1	0.248	0.140	0.243	13.514	-1.494	
0.153	0.003	-1.933	1	0.249	0.140	0.611	12.892	-1.479	
0.087	0.003	-1.898	1	0.249	0.140	0.446	14.667	-1.602	
0.018	0.002	-1.803	1	0.249	0.140	0.197	12.362	-1.998	
0.123	0.002	-1.664	1	0.249	0.140	0.541	13.115	-2.760	
0.001	0.003	-1.324	3	0.249	0.140	0.033	13.564	-12.119	
0.153	0.004	-1.449	2	0.250	0.140	0.434	12.931	-7.867	
