snp	 s0	s1	s2	s3	
4	25	73	122	167	
4	24	73	122	167	
4	25	73	122	167	
4	25	73	122	167	
4	33	73	113	167	
4	33	78	122	167	
4	33	78	122	167	
4	37	73	122	167	
4	45	73	122	167	
4	35	73	122	167	
4	33	73	122	167	
4	24	73	122	167	
4	28	73	131	167	
4	12	73	141	167	
4	17	78	141	167	
4	24	78	141	167	
4	33	78	141	167	
4	40	73	130	167	
4	40	73	130	167	
4	40	73	133	167	
4	31	73	138	167	
4	35	73	122	167	
4	40	73	128	167	
4	40	73	133	167	
4	33	73	138	167	
4	21	73	141	167	
4	18	73	141	167	
4	33	73	133	167	
4	40	73	133	167	
4	37	73	126	167	
4	39	73	133	167	
4	39	78	131	167	
4	33	78	131	167	
4	44	78	130	167	
4	35	78	130	167	
4	35	78	130	167	
4	36	78	135	167	
4	37	78	135	167	
4	35	78	138	167	
4	36	78	138	167	
4	28	78	131	167	
4	28	78	132	167	
4	39	78	130	167	
4	39	78	132	167	
4	39	78	141	167	
4	35	78	130	167	
4	35	73	132	167	
4	35	73	132	167	
4	39	73	124	167	
4	37	73	133	167	
4	37	73	133	167	
4	37	73	133	167	
4	37	73	132	167	
4	33	73	132	167	
4	23	73	134	167	
4	35	73	141	167	
4	19	73	141	167	
4	23	73	141	167	
4	23	73	135	167	
4	30	73	141	167	
4	30	73	128	167	
4	40	78	132	167	
4	20	78	122	167	
4	20	78	122	164	
4	18	78	122	164	
4	17	78	122	161	
4	19	78	122	155	
4	35	78	122	153	
4	35	78	122	145	
4	35	78	122	152	
4	35	73	132	162	
4	35	73	135	166	
4	39	73	134	166	
4	37	73	131	153	
4	21	73	131	144	
4	36	73	141	144	
4	36	73	131	144	
4	35	73	122	153	
4	35	73	122	167	
4	35	73	130	167	
4	25	73	130	167	
4	25	73	135	167	
4	25	73	134	167	
4	25	73	134	167	
4	12	73	141	167	
4	16	73	132	167	
4	20	73	141	167	
4	20	78	134	167	
4	20	73	134	167	
4	40	73	135	167	
4	40	73	132	167	
4	40	73	130	167	
4	12	73	130	167	
4	12	73	130	167	
4	26	73	130	167	
4	19	73	130	167	
4	12	73	138	167	
4	16	73	130	167	
4	7	73	133	167	
4	7	73	134	167	
4	7	73	134	167	
4	8	73	132	167	
4	8	73	132	167	
4	12	73	141	167	
4	28	73	134	167	
4	33	73	131	167	
4	33	73	138	167	
4	40	73	141	167	
4	40	73	138	167	
4	40	73	138	160	
4	33	73	135	154	
4	28	78	134	152	
3	21	78	134	NA 
4	20	78	122	138	
4	16	78	122	148	
4	23	78	122	150	
4	28	73	122	151	
4	17	73	122	154	
3	12	73	122	NA 
4	19	73	122	149	
4	20	73	122	143	
4	28	73	122	167	
4	31	73	91	122	
4	26	73	122	152	
4	25	73	122	158	
4	33	73	131	155	
4	31	73	135	160	
4	36	73	133	150	
4	28	78	138	165	
4	20	78	141	153	
4	16	78	141	152	
4	24	78	141	161	
4	25	78	90	138	
4	25	78	138	165	
4	26	78	130	161	
4	23	78	130	154	
4	25	78	130	160	
4	40	78	133	161	
4	35	78	128	167	
4	35	78	133	167	
4	26	78	133	167	
4	28	78	133	165	
4	28	78	133	165	
4	39	78	138	161	
4	39	78	131	164	
4	35	78	134	164	
4	39	73	130	157	
4	36	73	122	162	
4	30	73	122	162	
4	28	73	122	161	
4	20	73	122	161	
4	20	78	122	162	
4	24	73	122	153	
4	21	73	122	162	
4	21	73	122	164	
4	20	73	122	167	
4	20	73	131	167	
4	20	73	131	167	
4	16	73	124	161	
4	0	73	132	155	
4	0	78	134	155	
4	0	78	134	167	
4	0	78	134	167	
4	0	78	141	167	
4	0	78	113	167	
4	12	78	113	167	
4	24	78	113	167	
4	23	78	122	167	
4	16	73	122	167	
4	16	73	122	167	
4	18	73	122	167	
4	18	73	122	167	
4	35	78	122	167	
4	40	78	122	167	
4	40	78	122	167	
4	40	78	122	167	
4	33	78	130	167	
4	37	73	130	167	
4	36	73	133	167	
4	40	73	141	167	
4	39	73	141	167	
4	39	73	133	167	
4	39	73	134	167	
4	39	73	133	167	
4	40	73	141	167	
4	31	73	141	167	
4	40	73	131	167	
4	40	73	130	167	
4	33	73	130	167	
4	33	73	130	167	
4	33	73	131	167	
4	39	73	122	167	
4	33	73	122	167	
4	35	73	122	167	
4	35	73	122	167	
4	30	73	122	167	
4	16	73	122	167	
4	17	73	122	167	
4	35	73	113	167	
4	24	73	115	167	
4	24	73	122	159	
4	12	65	73	122	
4	19	78	122	163	
4	19	73	94	122	
4	19	73	122	169	
4	19	73	122	159	
4	19	73	132	145	
4	26	78	141	148	
4	19	73	141	148	
4	19	73	134	148	
4	18	73	135	161	
4	16	73	141	159	
4	17	73	138	159	
4	23	73	133	159	
4	23	73	133	159	
4	23	73	133	160	
4	20	78	133	167	
4	25	73	126	167	
4	25	73	126	167	
4	23	73	128	160	
4	23	73	135	152	
4	20	73	135	165	
4	25	73	131	165	
4	25	73	133	166	
4	18	73	133	159	
4	21	73	134	166	
4	16	73	133	166	
4	16	73	133	166	
4	21	78	135	166	
4	20	78	122	166	
4	19	78	122	167	
4	18	78	122	167	
4	12	78	122	167	
4	12	73	122	167	
4	30	78	122	167	
4	36	78	131	167	
4	35	78	132	167	
4	26	78	132	165	
4	24	73	126	152	
4	33	73	131	150	
4	19	73	133	150	
4	19	73	131	166	
4	23	73	133	167	
4	23	73	131	167	
4	21	78	122	167	
4	21	78	122	167	
4	30	73	132	167	
4	36	73	132	167	
4	36	73	133	167	
4	39	73	131	167	
4	39	73	131	167	
4	30	73	131	167	
4	26	73	131	167	
4	26	73	131	167	
4	21	73	138	167	
4	30	73	138	167	
4	30	73	138	167	
4	30	73	138	167	
4	30	73	135	167	
4	21	73	126	167	
4	30	78	132	167	
4	35	78	128	167	
4	26	78	128	167	
4	40	78	130	167	
4	40	78	135	167	
4	28	78	132	167	
4	35	78	138	167	
4	35	78	134	167	
4	39	78	135	167	
4	31	78	135	167	
4	30	73	130	167	
4	31	73	122	167	
4	31	73	122	167	
4	35	73	122	167	
4	25	73	122	167	
4	25	73	122	167	
4	21	73	122	167	
4	20	73	130	167	
4	20	73	122	167	
4	25	73	122	167	
4	18	73	122	167	
4	19	73	133	153	
4	19	73	130	167	
4	21	73	122	167	
4	30	73	122	167	
4	20	73	122	167	
4	19	73	122	167	
4	31	73	122	167	
4	28	78	122	167	
4	28	78	122	167	
4	33	78	122	162	
3	26	78	122	NA 
4	31	78	115	166	
4	33	36	78	115	
4	28	78	113	157	
4	18	78	113	167	
4	17	73	122	167	
4	7	73	122	167	
4	7	73	122	167	
4	20	73	122	167	
4	28	73	122	167	
4	33	73	122	167	
4	33	73	122	167	
4	33	73	122	167	
4	35	73	122	167	
4	31	73	122	167	
4	37	73	112	167	
4	20	73	122	167	
4	20	73	113	167	
4	26	73	113	167	
4	26	73	113	167	
4	35	78	113	167	
4	31	78	113	167	
4	40	78	113	167	
4	40	78	113	167	
4	35	78	126	167	
4	17	73	122	167	
4	33	73	122	154	
4	36	73	122	160	
4	37	73	122	166	
4	35	73	122	167	
4	7	73	122	163	
4	7	73	122	163	
4	7	73	122	164	
4	7	73	122	166	
4	8	73	122	162	
4	12	73	122	160	
4	21	73	122	161	
4	37	73	122	161	
4	30	73	122	163	
4	39	73	122	154	
4	44	73	122	151	
4	39	73	122	159	
4	37	73	122	159	
4	37	73	122	157	
4	40	73	122	167	
4	40	73	122	167	
4	33	78	122	167	
4	28	78	122	167	
4	36	78	122	167	
4	36	78	122	167	
4	39	78	122	167	
4	36	78	133	167	
4	25	73	133	167	
4	25	73	133	167	
4	25	73	133	167	
4	16	73	132	167	
4	18	73	132	167	
4	21	73	141	167	
4	25	73	141	167	
4	20	73	138	167	
4	28	73	135	167	
4	36	73	135	167	
4	36	73	126	167	
4	39	73	128	167	
4	45	73	130	167	
4	45	73	138	167	
