snp	 s0	s1	s2	s3	
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
3	42	81	143	NA 
1	81	NA NA NA 
2	81	121	NA NA 
2	47	81	NA NA 
4	76	81	156	161	
2	81	86	NA NA 
3	17	81	131	NA 
2	81	118	NA NA 
2	22	81	NA NA 
2	53	84	NA NA 
2	44	95	NA NA 
4	34	81	140	157	
4	81	86	115	154	
4	81	94	159	161	
2	88	90	NA NA 
4	76	88	90	134	
1	81	NA NA NA 
2	81	144	NA NA 
2	81	148	NA NA 
2	81	103	NA NA 
2	79	81	NA NA 
4	66	81	83	159	
2	94	146	NA NA 
2	79	86	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
3	74	81	140	NA 
3	81	146	151	NA 
1	81	NA NA NA 
3	18	81	104	NA 
4	47	69	75	81	
3	81	115	118	NA 
1	44	NA NA NA 
3	1	26	131	NA 
4	23	84	99	131	
2	92	94	NA NA 
2	13	81	NA NA 
3	81	104	159	NA 
1	81	NA NA NA 
3	33	61	94	NA 
4	32	43	90	95	
3	0	86	97	NA 
1	81	NA NA NA 
2	81	91	NA NA 
2	81	124	NA NA 
2	81	149	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	76	NA NA NA 
2	76	106	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
4	52	75	81	112	
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	65	71	NA NA 
1	76	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	134	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
4	81	99	112	124	
1	81	NA NA NA 
2	10	81	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
3	92	93	154	NA 
2	92	93	NA NA 
2	84	97	NA NA 
3	84	97	146	NA 
2	84	100	NA NA 
2	84	100	NA NA 
2	84	97	NA NA 
4	51	81	97	152	
2	81	129	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
3	81	125	131	NA 
3	53	81	149	NA 
1	81	NA NA NA 
3	55	81	125	NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	109	NA NA 
3	54	95	114	NA 
2	61	95	NA NA 
3	88	90	127	NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	17	81	NA NA 
2	81	112	NA NA 
2	81	93	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	128	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
4	39	81	111	129	
2	55	81	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	32	81	NA NA 
2	81	121	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	137	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	76	NA NA NA 
1	44	NA NA NA 
2	81	133	NA NA 
1	81	NA NA NA 
4	5	81	86	110	
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	113	NA NA 
2	47	81	NA NA 
1	81	NA NA NA 
4	10	40	60	102	
1	94	NA NA NA 
1	45	NA NA NA 
1	26	NA NA NA 
4	52	55	86	132	
2	81	140	NA NA 
2	45	81	NA NA 
1	81	NA NA NA 
2	64	81	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
3	81	136	155	NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	87	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	102	NA NA 
2	42	81	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	148	NA NA 
1	81	NA NA NA 
2	58	81	NA NA 
1	81	NA NA NA 
1	76	NA NA NA 
1	76	NA NA NA 
2	40	89	NA NA 
1	94	NA NA NA 
2	44	81	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	47	81	NA NA 
1	81	NA NA NA 
3	1	81	103	NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	86	90	NA NA 
3	81	107	132	NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	151	NA NA 
1	81	NA NA NA 
2	81	155	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	107	NA NA 
1	76	NA NA NA 
4	60	76	114	139	
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	82	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	104	NA NA 
1	81	NA NA NA 
2	29	110	NA NA 
1	81	NA NA NA 
2	19	81	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	156	NA NA 
3	33	88	90	NA 
1	31	NA NA NA 
2	44	95	NA NA 
3	81	150	154	NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	33	81	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	19	81	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	4	81	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	150	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	78	81	NA NA 
2	81	116	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	44	91	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	159	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	73	81	NA NA 
1	44	NA NA NA 
1	44	NA NA NA 
2	44	95	NA NA 
2	44	95	NA NA 
1	81	NA NA NA 
2	81	127	NA NA 
3	49	84	85	NA 
4	84	85	131	155	
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	74	NA NA NA 
3	7	86	98	NA 
1	71	NA NA NA 
2	50	147	NA NA 
1	44	NA NA NA 
1	94	NA NA NA 
2	81	110	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	81	111	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
2	41	81	NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
1	81	NA NA NA 
