h 	 hh 	 p 	 snp 	 ar 	 war 	 sigma 	 bf 	 like 	 
0.008	0.001	-1.950	4	0.277	0.078	0.070	10.361	-14.993	
0.012	0.003	-1.970	3	0.277	0.078	0.104	11.975	-10.537	
0.042	0.003	-1.952	2	0.276	0.078	0.257	11.930	-6.034	
0.033	0.004	-2.064	2	0.276	0.078	0.229	8.919	-5.940	
0.093	0.004	-2.078	2	0.276	0.078	0.394	10.325	-5.935	
0.003	0.002	-2.098	2	0.276	0.078	0.075	12.292	-5.928	
0.052	0.003	-2.010	2	0.276	0.078	0.290	9.795	-5.974	
0.002	0.002	-2.023	2	0.275	0.077	0.057	11.070	-5.964	
0.123	0.002	-2.017	1	0.275	0.077	0.532	6.314	-1.332	
0.106	0.003	-1.986	2	0.275	0.077	0.432	12.543	-5.995	
0.119	0.002	-1.690	2	0.275	0.078	0.463	12.392	-6.719	
0.114	0.003	-1.692	3	0.274	0.077	0.391	7.548	-10.584	
0.016	0.004	-1.596	3	0.274	0.077	0.142	11.946	-10.841	
0.003	0.001	-1.647	2	0.274	0.077	0.073	13.220	-6.917	
0.019	0.003	-1.737	2	0.274	0.077	0.168	13.183	-6.534	
0.133	0.003	-1.710	1	0.274	0.077	0.959	6.094	-2.717	
0.106	0.002	-1.841	2	0.274	0.078	0.428	9.790	-6.229	
0.004	0.003	-1.588	4	0.274	0.078	0.056	8.849	-14.502	
0.216	0.003	-1.696	2	0.274	0.078	0.652	10.071	-6.694	
0.028	0.005	-1.598	2	0.274	0.078	0.171	8.719	-7.180	
0.096	0.003	-1.623	3	0.274	0.078	0.344	8.991	-10.753	
0.103	0.003	-1.753	2	0.274	0.078	0.426	11.201	-6.479	
0.102	0.005	-1.824	2	0.274	0.078	0.424	15.442	-6.270	
0.012	0.003	-1.785	2	0.273	0.078	0.139	17.103	-6.377	
0.028	0.003	-1.857	2	0.273	0.078	0.212	15.075	-6.193	
0.047	0.004	-1.808	2	0.273	0.078	0.278	15.401	-6.310	
0.042	0.004	-1.886	2	0.272	0.078	0.265	15.312	-6.135	
0.018	0.001	-2.036	3	0.272	0.078	0.150	11.989	-10.634	
0.022	0.002	-2.070	2	0.272	0.078	0.188	14.894	-5.937	
0.019	0.002	-2.123	3	0.272	0.078	0.147	13.112	-10.806	
0.008	0.003	-2.112	2	0.271	0.077	0.112	15.975	-5.926	
0.008	0.004	-1.985	4	0.271	0.077	0.087	12.314	-15.115	
0.020	0.003	-1.987	2	0.271	0.077	0.174	15.163	-5.995	
0.104	0.002	-1.982	1	0.270	0.077	0.833	7.519	-1.447	
0.126	0.005	-1.930	2	0.270	0.077	0.483	11.875	-6.063	
0.003	0.002	-1.828	3	0.270	0.077	0.054	14.528	-10.454	
0.006	0.001	-1.944	2	0.270	0.077	0.093	14.071	-6.044	
0.007	0.003	-1.925	2	0.270	0.077	0.104	13.508	-6.071	
