h 	 hh 	 p 	 snp 	 ar 	 war 	 sigma 	 bf 	 like 	 
0.055	0.002	-1.843	1	0.181	0.071	0.413	6.575	-2.342	
0.011	0.001	-1.807	1	0.181	0.071	0.184	7.323	-2.549	
0.024	0.002	-1.865	2	0.182	0.070	0.198	6.828	-6.506	
0.009	0.002	-1.951	2	0.182	0.070	0.120	3.309	-6.304	
0.026	0.001	-1.952	1	0.181	0.070	0.290	6.245	-1.818	
0.011	0.002	-1.943	2	0.181	0.069	0.142	5.134	-6.320	
0.166	0.001	-1.951	1	0.180	0.069	0.766	5.967	-1.826	
0.298	0.001	-1.982	1	0.179	0.068	1.118	5.590	-1.698	
0.178	0.000	-1.960	1	0.178	0.068	0.950	1.945	-1.787	
0.039	0.002	-2.052	1	0.178	0.067	0.352	5.755	-1.444	
0.012	0.004	-2.035	3	0.178	0.067	0.104	4.550	-10.855	
0.048	0.002	-2.100	1	0.178	0.067	0.400	5.870	-1.292	
0.103	0.003	-2.126	2	0.177	0.067	0.440	3.765	-6.104	
0.043	0.004	-2.208	2	0.178	0.068	0.272	6.688	-6.085	
0.019	0.002	-2.185	1	0.178	0.067	0.239	7.092	-1.063	
0.006	0.002	-2.173	3	0.177	0.067	0.073	5.430	-11.084	
0.088	0.004	-2.165	2	0.176	0.067	0.400	6.464	-6.090	
0.001	0.001	-2.127	1	0.176	0.067	0.065	7.132	-1.214	
0.107	0.001	-2.116	1	0.175	0.066	0.615	5.449	-1.246	
0.110	0.002	-2.022	2	0.174	0.066	0.453	5.209	-6.194	
0.035	0.002	-2.031	2	0.174	0.065	0.240	6.628	-6.183	
0.007	0.002	-1.856	2	0.174	0.066	0.106	8.810	-6.532	
0.199	0.001	-1.957	1	0.174	0.066	0.856	5.856	-1.799	
0.441	0.001	-1.940	1	0.173	0.065	1.574	4.584	-1.872	
0.403	0.001	-2.014	1	0.172	0.065	1.457	4.660	-1.577	
0.672	0.002	-2.043	1	0.171	0.065	2.462	4.803	-1.476	
0.715	0.001	-2.054	1	0.171	0.065	2.770	3.709	-1.438	
0.777	0.001	-2.048	1	0.169	0.065	3.208	4.538	-1.457	
0.676	0.001	-2.062	1	0.168	0.065	2.560	4.029	-1.411	
0.776	0.000	-1.969	0	0.168	0.065	0.000	0.000	2.775	
0.935	0.000	-2.021	0	0.171	0.067	0.000	0.000	3.092	
0.793	0.003	-2.201	1	0.171	0.067	3.470	3.794	-1.022	
0.827	0.002	-2.153	1	0.171	0.068	3.754	4.381	-1.143	
0.977	0.000	-2.080	0	0.173	0.069	0.000	0.000	3.427	
0.931	0.000	-2.083	0	0.175	0.070	0.000	0.000	3.443	
0.881	0.000	-2.197	0	0.176	0.071	0.000	0.000	4.019	
0.631	0.000	-2.206	0	0.178	0.073	0.000	0.000	4.060	
0.542	0.002	-2.099	2	0.179	0.073	1.238	3.614	-6.120	
0.669	0.001	-1.863	1	0.180	0.074	2.444	4.810	-2.238	
0.671	0.002	-1.889	1	0.178	0.073	2.455	4.805	-2.104	
0.739	0.001	-1.893	1	0.177	0.073	2.894	4.641	-2.088	
0.769	0.001	-1.875	1	0.176	0.072	3.236	3.795	-2.173	
0.767	0.000	-1.999	0	0.176	0.072	0.000	0.000	2.960	
0.607	0.000	-2.016	0	0.177	0.073	0.000	0.000	3.065	
0.689	0.000	-2.150	0	0.179	0.075	0.000	0.000	3.794	
0.236	0.001	-2.205	1	0.182	0.076	0.975	4.053	-1.013	
0.240	0.000	-2.181	1	0.181	0.076	0.997	5.039	-1.071	
0.178	0.002	-2.189	1	0.180	0.075	0.801	5.923	-1.051	
0.081	0.002	-2.187	1	0.179	0.075	0.527	5.601	-1.056	
0.003	0.000	-2.204	2	0.178	0.074	0.071	7.290	-6.085	
0.021	0.001	-2.158	1	0.178	0.074	0.259	6.350	-1.130	
0.076	0.003	-2.205	1	0.177	0.074	0.507	5.639	-1.013	
0.007	0.002	-2.060	2	0.179	0.074	0.087	2.942	-6.152	
0.050	0.001	-2.077	2	0.178	0.074	0.306	3.696	-6.137	
0.011	0.001	-2.053	2	0.178	0.074	0.137	6.925	-6.158	
0.004	0.002	-2.096	3	0.178	0.074	0.066	6.503	-10.940	
0.009	0.002	-2.116	3	0.178	0.073	0.102	6.564	-10.975	
0.020	0.001	-2.184	3	0.177	0.073	0.156	4.717	-11.110	
0.004	0.002	-2.132	2	0.177	0.073	0.084	7.149	-6.101	
0.184	0.001	-2.102	1	0.177	0.073	0.815	5.905	-1.287	
0.102	0.001	-2.115	1	0.176	0.073	0.581	6.240	-1.248	
0.086	0.002	-2.042	2	0.175	0.072	0.353	4.291	-6.171	
0.012	0.001	-2.045	1	0.175	0.072	0.192	6.617	-1.466	
0.063	0.002	-1.971	2	0.175	0.072	0.328	6.344	-6.270	
0.007	0.002	-1.846	4	0.176	0.071	0.073	6.700	-15.034	
0.022	0.003	-1.894	2	0.176	0.071	0.194	5.728	-6.429	
0.017	0.001	-1.925	2	0.176	0.071	0.150	7.723	-6.358	
0.031	0.000	-1.928	0	0.176	0.071	0.000	0.000	2.503	
0.015	0.002	-1.897	1	0.176	0.072	0.221	6.429	-2.067	
0.047	0.002	-1.872	2	0.176	0.072	0.285	6.499	-6.487	
0.009	0.001	-1.842	3	0.176	0.072	0.086	5.268	-10.802	
0.095	0.001	-1.768	2	0.176	0.072	0.416	5.139	-6.840	
0.004	0.001	-1.843	2	0.176	0.071	0.082	8.606	-6.571	
0.065	0.002	-1.811	2	0.176	0.071	0.348	3.453	-6.678	
0.030	0.002	-1.897	2	0.177	0.071	0.237	6.328	-6.422	
0.051	0.002	-1.885	2	0.176	0.071	0.301	4.461	-6.452	
0.005	0.002	-1.867	4	0.176	0.070	0.059	4.772	-15.070	
